"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"96","X2.5","2","5",63.72778019,3,1.18e-05,3.79e-06
"97","X2.6","2","6",704.359129,5,6.79e-14,3.79e-06
"98","X2.7","2","7",677.9625761,6,4.89e-15,3.79e-06
"99","X2.8","2","8",679.7843481,6,7.36e-15,3.79e-06
"100","X2.9","2","9",757.6051095,6,2.33e-13,3.79e-06
"101","X2.10","2","10",690.4236743,6,1.09e-15,3.79e-06
"102","X2.11","2","11",997.4796393,6,2.43e-15,3.79e-06
"103","X2.12","2","12",900.7514696,6,5.81e-15,3.79e-06
"104","X2.13","2","13",834.8225738,6,2.53e-13,3.79e-06
"105","X2.14","2","14",1139.784807,6,8.71e-17,3.79e-06
"106","X2.15","2","15",1078.207522,6,4.91e-16,3.79e-06
"107","X2.16","2","16",1099.497893,6,2.15e-16,3.79e-06
"108","X2.17","2","17",1255.236487,7,2.55e-15,3.79e-06
"109","X1.2","1","2",198.4000083,4,1.41e-11,3.67e-06
"110","X1.3","1","3",538.2716031,5,3.47e-14,6.06e-06
"111","X1.4","1","4",700.1737802,5,3.85e-14,6.06e-06
"112","X1.5","1","5",263.986917,4,6.46e-11,5.82e-06
"113","X1.6","1","6",895.7119548,5,1.4e-13,6.06e-06
"114","X1.7","1","7",875.6606444,6,3.79e-16,6.06e-06
"115","X1.8","1","8",877.5622861,6,5.5e-16,6.06e-06
"116","X1.9","1","9",955.112814,6,7.65e-15,6.06e-06
"117","X1.10","1","10",888.3180922,6,6.66e-16,6.06e-06
"118","X1.11","1","11",1182.304089,6,2.25e-16,6.06e-06
"119","X1.12","1","12",1092.312779,6,8.37e-16,6.06e-06
"120","X1.13","1","13",1025.583005,6,5.34e-14,6.06e-06
"121","X1.14","1","14",1324.000857,6,2.14e-17,6.06e-06
"122","X1.15","1","15",1266.942484,6,2.73e-16,6.06e-06
"123","X1.16","1","16",1282.963587,6,3.82e-16,6.06e-06
