"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"327","X10.18","10","18",509.5427776,4,6.81e-09,5.74e-05
"328","X10.19","10","19",699.9444513,5,4.94e-11,5.74e-05
"329","X10.20","10","20",440.3533023,5,1.37e-08,5.74e-05
"330","X10.21","10","21",416.8384256,4,3.75e-07,5.74e-05
"331","X10.22","10","22",441.5405862,4,1.96e-10,5.74e-05
"332","X10.23","10","23",458.3772279,4,4.09e-09,5.74e-05
"333","X10.25","10","25",441.132788,5,4.43e-09,5.74e-05
"334","X10.27","10","27",653.0333847,5,6.59e-11,5.74e-05
"335","X10.28","10","28",462.6538775,5,2.53e-08,5.74e-05
"336","X10.29","10","29",484.5311699,5,1.22e-08,5.74e-05
"337","X10.30","10","30",494.4369388,4,2.26e-08,5.74e-05
"338","X10.32","10","32",796.0754798,5,1.43e-11,5.74e-05
"339","X10.43","10","43",1115.724008,6,1.56e-14,5.74e-05
"340","X14.6","14","6",444.2024886,3,5.4e-05,0.002642155
"341","X14.7","14","7",461.683523,3,2.75e-06,0.001170288
"342","X14.8","14","8",8.149188618,2,2.71e-06,1.63e-08
"343","X14.9","14","9",14.97901145,2,2.71e-06,2.01e-08
"344","X14.17","14","17",523.1648766,3,1.38e-05,0.002508306
"345","X14.18","14","18",530.1864733,3,0.000194058,0.002642155
"346","X14.19","14","19",716.5265369,3,2.14e-06,0.000831415
"347","X14.20","14","20",462.8854749,4,5.1e-06,0.002642155
"348","X14.21","14","21",438.5541841,3,3.64e-07,0.001665815
"349","X14.22","14","22",462.1271307,2,0.000633409,0.000918353
"350","X14.23","14","23",479.0466365,3,1.76e-05,0.000719463
"351","X14.25","14","25",464.8201236,4,8.24e-07,0.002238898
"352","X14.27","14","27",671.1125422,2,5.42e-06,0.001611004
"353","X14.28","14","28",484.8417059,3,1.08e-05,0.002642155
"354","X14.29","14","29",506.1973678,3,1.58e-05,0.002477436
"355","X14.30","14","30",514.5434066,3,5.35e-05,0.002509489
"356","X14.31","14","31",914.272212,5,1.19e-09,0.000124204
