0,7.68E-11,1.53E-09,1.09E-10,1.41E-11,1.19E-14,6.06E-16,9.67E-12,3.69E-11,1.23E-14,8.68E-11,2.97E-12,8.34E-12,2.21E-10,6.46E-11,1.06E-12,8.19E-15,1.15E-13,4.72E-16,1.13E-15,2.40E-16,1.40E-13,3.89E-15,1.82E-16,6.29E-15,2.37E-15,9.37E-15,3.18E-14,2.62E-19,1.02E-14,7.26E-24,1.19E-21,7.15E-23,6.23E-22,3.74E-23,2.00E-22,2.22E-21,9.52E-22,3.69E-19
3.37E-06,0,5.22E-13,6.23E-09,6.32E-13,2.31E-16,1.18E-17,2.24E-13,7.40E-14,1.69E-17,6.75E-14,1.63E-15,1.43E-14,4.46E-13,2.20E-14,1.39E-14,1.12E-17,1.58E-16,9.89E-19,2.19E-17,1.15E-18,2.71E-15,7.55E-17,3.53E-18,7.67E-18,4.61E-17,1.29E-17,1.27E-16,5.09E-21,1.97E-16,1.41E-25,2.31E-23,1.39E-24,7.60E-25,7.25E-25,1.08E-24,6.01E-24,1.85E-23,4.49E-22
4.38E-09,9.85E-18,0,0.0644375,4.52E-09,1.28E-19,1.46E-20,2.61E-18,4.34E-18,2.26E-18,2.42E-11,6.82E-17,9.82E-19,2.60E-17,7.31E-12,2.82E-15,1.51E-18,2.12E-17,2.60E-20,1.36E-20,8.00E-19,5.57E-19,1.55E-20,1.77E-20,5.93E-19,1.28E-19,1.72E-18,5.85E-18,3.53E-24,4.53E-20,6.45E-28,2.20E-26,1.32E-27,2.56E-26,6.92E-28,6.22E-27,6.97E-26,2.03E-25,1.16E-23
8.61E-13,9.03E-20,4.16E-10,0,3.45E-11,9.76E-22,1.11E-22,2.40E-20,7.92E-21,1.72E-20,1.85E-13,5.20E-19,1.53E-21,4.77E-20,8.69E-14,2.15E-17,1.15E-20,1.62E-19,1.98E-22,1.04E-22,6.10E-21,4.25E-21,1.18E-22,1.35E-22,4.52E-21,9.78E-22,1.31E-20,4.46E-20,2.69E-26,3.45E-22,4.92E-30,1.68E-28,1.01E-29,1.96E-28,5.27E-30,4.74E-29,5.32E-28,1.55E-27,8.81E-26
1.23E-17,1.29E-24,5.92E-15,5.08E-11,0,3.07E-14,4.37E-15,1.36E-16,1.36E-16,3.74E-13,1.12E-06,2.05E-11,2.18E-26,5.24E-15,1.18E-05,8.47E-10,2.50E-13,3.51E-12,4.30E-15,4.09E-15,1.92E-13,6.79E-14,2.27E-15,2.27E-15,9.81E-14,2.12E-14,2.85E-13,9.69E-13,5.85E-19,7.50E-15,3.80E-23,3.65E-21,2.19E-22,4.25E-21,1.14E-22,9.48E-22,1.15E-20,1.19E-20,1.91E-18
2.30E-33,2.42E-40,1.11E-30,9.54E-27,5.79E-20,0,0.003975,7.55E-13,9.93E-13,4.88E-16,5.73E-14,1.10E-14,4.10E-42,1.39E-11,1.67E-13,2.09E-13,0.003328732,0.000228864,5.03E-10,0.04945,2.04E-08,3.38E-10,3.07E-09,0.0112375,3.94E-08,0.0848625,0.0018125,5.17E-09,1.35E-12,2.36E-12,1.26E-14,2.10E-12,1.26E-13,1.06E-14,6.58E-14,5.45E-13,6.05E-12,1.46E-13,1.00E-09
4.06E-33,4.26E-40,1.96E-30,1.68E-26,1.02E-19,0.0858,0,3.37E-13,4.44E-13,2.18E-16,2.56E-14,4.91E-15,7.23E-42,6.22E-12,6.90E-13,2.46E-13,0.001488098,0.000732025,5.79E-09,0.00424281,8.14E-09,2.90E-11,2.63E-10,0.00257304,5.96E-07,0.0379375,0.000346221,4.43E-10,1.63E-12,2.46E-11,5.03E-13,8.41E-11,5.05E-12,3.26E-13,2.64E-12,2.18E-11,2.43E-10,3.23E-12,4.02E-08
6.11E-25,6.41E-32,2.95E-22,2.53E-18,1.53E-11,6.23E-05,3.17E-06,0,3.13E-06,1.06E-07,1.63E-10,1.37E-07,1.09E-33,4.11E-08,7.48E-09,0.00375625,2.50E-06,9.51E-06,2.66E-07,5.89E-06,3.11E-07,0.00073125,2.03E-05,9.51E-07,3.94E-07,1.24E-05,2.48E-06,3.41E-05,1.37E-09,5.32E-05,3.80E-14,6.23E-12,3.74E-13,1.96E-13,1.95E-13,2.90E-13,1.62E-12,4.98E-12,1.15E-11
4.13E-25,4.34E-32,2.00E-22,1.71E-18,1.04E-11,1.75E-05,8.90E-07,8.77E-07,0,8.58E-08,1.10E-10,6.10E-07,7.36E-34,2.78E-08,1.81E-08,0.001054379,9.19E-07,1.29E-05,2.12E-07,1.65E-06,2.91E-07,0.000205262,5.71E-06,2.67E-07,3.61E-07,3.48E-06,1.05E-06,9.57E-06,6.12E-09,0.00023729,1.16E-14,1.75E-12,1.05E-13,5.51E-14,5.48E-14,8.15E-14,4.54E-13,1.40E-12,5.63E-12
9.98E-26,1.05E-32,4.81E-23,4.13E-19,2.50E-12,6.00E-08,8.52E-09,2.52E-12,3.31E-12,0,2.66E-11,6.71E-09,1.78E-34,6.71E-09,1.22E-09,2.01E-08,1.03E-08,6.81E-09,4.94E-11,1.37E-08,3.75E-07,1.96E-10,4.09E-09,4.43E-09,6.59E-11,2.53E-08,1.22E-08,2.26E-08,3.68E-16,1.43E-11,2.05E-17,2.26E-16,1.36E-17,1.90E-16,7.09E-18,1.98E-16,1.85E-15,6.45E-15,1.56E-14
