NA 	0.174 	0.115 	0.427 	0.48 	0.345 	0.196 	0.399 	0.225 	0.262 	0.311 	0.5 	0.154 	0.2 	0.664 	0.215 	0.416 	0.074 	0.155 	0.171 	0.35 	0.35 	0.155 	0.66 	0.157 	0.359 	0.251 	0.158 	0.192 	0.139 	0.093 	0.07 	0.065 	0.124 	0.059 	0.051 	0.176 	0.191 	0.097
0.303 	NA 	0.469 	0.304 	0.24 	0.161 	0.221 	0.207 	0.282 	0.154 	0.227 	0.241 	0.277 	0.154 	0.211 	0.119 	0.253 	0.074 	0.138 	0.164 	0.143 	0.168 	0.138 	0.329 	0.126 	0.16 	0.149 	0.11 	0.188 	0.076 	0.06 	0.048 	0.052 	0.078 	0.042 	0.036 	0.098 	0.102 	0.079
0.196 	0.474 	NA 	0.258 	0.16 	0.108 	0.246 	0.175 	0.19 	0.124 	0.191 	0.188 	0.243 	0.114 	0.149 	0.102 	0.233 	0.074 	0.132 	0.127 	0.096 	0.156 	0.105 	0.23 	0.091 	0.141 	0.112 	0.105 	0.186 	0.077 	0.056 	0.043 	0.049 	0.068 	0.04 	0.033 	0.099 	0.094 	0.077
0.344 	0.178 	0.129 	NA 	0.514 	0.156 	0.131 	0.224 	0.218 	0.17 	0.218 	0.259 	0.158 	0.114 	0.297 	0.131 	0.475 	0.066 	0.217 	0.11 	0.251 	0.205 	0.181 	0.365 	0.111 	0.257 	0.34 	0.112 	0.117 	0.118 	0.091 	0.068 	0.07 	0.126 	0.067 	0.054 	0.14 	0.192 	0.087
0.235 	0.127 	0.076 	0.302 	NA 	0.291 	0.152 	0.195 	0.158 	0.2 	0.194 	0.517 	0.165 	0.094 	0.219 	0.115 	0.525 	0.08 	0.115 	0.128 	0.302 	0.242 	0.216 	0.427 	0.119 	0.278 	0.203 	0.145 	0.118 	0.15 	0.1 	0.069 	0.061 	0.138 	0.065 	0.054 	0.144 	0.195 	0.121
0.262 	0.114 	0.077 	0.181 	0.38 	NA 	0.25 	0.196 	0.148 	0.202 	0.184 	0.55 	0.164 	0.163 	0.256 	0.122 	0.296 	0.082 	0.098 	0.155 	0.201 	0.337 	0.126 	0.451 	0.109 	0.559 	0.192 	0.159 	0.199 	0.139 	0.081 	0.065 	0.047 	0.111 	0.048 	0.043 	0.162 	0.198 	0.129
0.128 	0.14 	0.109 	0.189 	0.291 	0.222 	NA 	0.215 	0.173 	0.229 	0.128 	0.556 	0.149 	0.107 	0.175 	0.129 	0.289 	0.068 	0.123 	0.134 	0.18 	0.253 	0.131 	0.347 	0.115 	0.293 	0.14 	0.146 	0.29 	0.12 	0.075 	0.058 	0.052 	0.099 	0.051 	0.045 	0.129 	0.123 	0.104
0.155 	0.16 	0.111 	0.182 	0.274 	0.212 	0.223 	NA 	0.563 	0.372 	0.207 	0.28 	0.215 	0.154 	0.267 	0.346 	0.297 	0.08 	0.131 	0.13 	0.205 	0.249 	0.114 	0.493 	0.121 	0.283 	0.178 	0.158 	0.184 	0.114 	0.073 	0.058 	0.07 	0.084 	0.059 	0.053 	0.127 	0.127 	0.122
0.108 	0.074 	0.075 	0.099 	0.117 	0.105 	0.109 	0.168 	NA 	0.158 	0.092 	0.142 	0.076 	0.068 	0.165 	0.173 	0.09 	0.069 	0.128 	0.083 	0.14 	0.132 	0.067 	0.152 	0.088 	0.151 	0.081 	0.131 	0.102 	0.075 	0.076 	0.055 	0.064 	0.07 	0.06 	0.064 	0.133 	0.121 	0.083
0.158 	0.107 	0.073 	0.124 	0.262 	0.307 	0.2 	0.254 	0.18 	NA 	0.134 	0.262 	0.131 	0.105 	0.246 	0.239 	0.206 	0.069 	0.095 	0.13 	0.24 	0.303 	0.08 	0.44 	0.115 	0.236 	0.148 	0.254 	0.298 	0.104 	0.085 	0.07 	0.065 	0.08 	0.057 	0.055 	0.137 	0.123 	0.134
0.308 	0.205 	0.118 	0.369 	0.453 	0.268 	0.119 	0.283 	0.327 	0.17 	NA 	0.287 	0.301 	0.162 	0.453 	0.191 	0.4 	0.099 	0.16 	0.134 	0.268 	0.255 	0.168 	0.551 	0.119 	0.426 	0.414 	0.149 	0.101 	0.107 	0.064 	0.053 	0.051 	0.081 	0.05 	0.048 	0.104 	0.141 	0.118
0.217 	0.127 	0.089 	0.241 	0.467 	0.309 	0.374 	0.292 	0.209 	0.3 	0.156 	NA 	0.16 	0.153 	0.282 	0.144 	0.415 	0.091 	0.126 	0.224 	0.304 	0.366 	0.176 	0.644 	0.171 	0.332 	0.169 	0.144 	0.245 	0.119 	0.094 	0.068 	0.064 	0.133 	0.057 	0.053 	0.168 	0.169 	0.115
0.191 	0.275 	0.224 	0.219 	0.222 	0.228 	0.218 	0.342 	0.367 	0.185 	0.301 	0.272 	NA 	0.138 	0.208 	0.162 	0.304 	0.13 	0.13 	0.128 	0.129 	0.186 	0.142 	0.503 	0.137 	0.248 	0.169 	0.197 	0.148 	0.078 	0.052 	0.041 	0.043 	0.061 	0.039 	0.034 	0.091 	0.096 	0.129
0.183 	0.119 	0.078 	0.154 	0.17 	0.251 	0.129 	0.222 	0.149 	0.178 	0.102 	0.177 	0.128 	NA 	0.178 	0.124 	0.216 	0.054 	0.079 	0.144 	0.15 	0.193 	0.104 	0.278 	0.121 	0.172 	0.163 	0.097 	0.173 	0.081 	0.08 	0.054 	0.061 	0.102 	0.043 	0.04 	0.134 	0.15 	0.09
0.714 	0.168 	0.105 	0.342 	0.42 	0.387 	0.207 	0.456 	0.393 	0.359 	0.265 	0.495 	0.157 	0.247 	NA 	0.32 	0.323 	0.086 	0.206 	0.187 	0.451 	0.464 	0.147 	0.719 	0.179 	0.593 	0.278 	0.178 	0.238 	0.135 	0.09 	0.07 	0.075 	0.108 	0.06 	0.057 	0.176 	0.188 	0.113
0.255 	0.172 	0.131 	0.2 	0.189 	0.251 	0.235 	0.757 	0.372 	0.489 	0.2 	0.243 	0.165 	0.235 	0.279 	NA 	0.207 	0.071 	0.245 	0.117 	0.225 	0.303 	0.117 	0.723 	0.185 	0.343 	0.198 	0.246 	0.256 	0.101 	0.069 	0.054 	0.062 	0.077 	0.053 	0.05 	0.136 	0.119 	0.107
0.192 	0.123 	0.084 	0.24 	0.499 	0.279 	0.187 	0.244 	0.149 	0.197 	0.207 	0.559 	0.2 	0.144 	0.213 	0.148 	NA 	0.086 	0.106 	0.122 	0.229 	0.219 	0.143 	0.443 	0.126 	0.278 	0.234 	0.136 	0.126 	0.121 	0.075 	0.056 	0.052 	0.105 	0.049 	0.044 	0.131 	0.137 	0.108
0.046 	0.038 	0.035 	0.058 	0.079 	0.077 	0.063 	0.054 	0.042 	0.073 	0.059 	0.067 	0.049 	0.048 	0.061 	0.043 	0.076 	NA 	0.026 	0.06 	0.056 	0.067 	0.033 	0.072 	0.037 	0.081 	0.047 	0.044 	0.065 	0.053 	0.043 	0.035 	0.021 	0.037 	0.025 	0.035 	0.096 	0.071 	0.101
0.091 	0.063 	0.058 	0.141 	0.11 	0.116 	0.118 	0.117 	0.143 	0.143 	0.066 	0.133 	0.076 	0.085 	0.091 	0.124 	0.095 	0.031 	NA 	0.051 	0.165 	0.096 	0.093 	0.209 	0.094 	0.222 	0.144 	0.102 	0.112 	0.103 	0.088 	0.066 	0.071 	0.086 	0.06 	0.057 	0.16 	0.172 	0.1
0.234 	0.13 	0.09 	0.19 	0.287 	0.27 	0.372 	0.182 	0.157 	0.226 	0.152 	0.659 	0.122 	0.141 	0.259 	0.119 	0.216 	0.085 	0.071 	NA 	0.18 	0.399 	0.146 	0.35 	0.112 	0.28 	0.108 	0.115 	0.383 	0.101 	0.077 	0.058 	0.053 	0.1 	0.047 	0.05 	0.148 	0.151 	0.1
0.176 	0.074 	0.054 	0.204 	0.258 	0.18 	0.09 	0.167 	0.131 	0.157 	0.128 	0.21 	0.086 	0.102 	0.201 	0.134 	0.202 	0.046 	0.147 	0.071 	NA 	0.146 	0.107 	0.252 	0.124 	0.282 	0.231 	0.089 	0.089 	0.19 	0.136 	0.126 	0.111 	0.17 	0.09 	0.095 	0.141 	0.253 	0.085
0.406 	0.151 	0.108 	0.223 	0.529 	0.531 	0.427 	0.505 	0.266 	0.536 	0.242 	0.747 	0.188 	0.19 	0.459 	0.333 	0.355 	0.091 	0.14 	0.244 	0.286 	NA 	0.16 	1 	0.207 	0.449 	0.214 	0.301 	0.472 	0.149 	0.091 	0.063 	0.062 	0.094 	0.053 	0.053 	0.189 	0.168 	0.131
0.148 	0.11 	0.07 	0.211 	0.378 	0.232 	0.181 	0.166 	0.125 	0.129 	0.114 	0.213 	0.114 	0.128 	0.134 	0.086 	0.219 	0.063 	0.1 	0.081 	0.164 	0.141 	NA 	0.205 	0.108 	0.225 	0.144 	0.123 	0.135 	0.119 	0.078 	0.051 	0.048 	0.097 	0.051 	0.042 	0.127 	0.133 	0.092
0.395 	0.205 	0.141 	0.335 	0.466 	0.541 	0.307 	0.684 	0.478 	0.552 	0.333 	0.776 	0.362 	0.196 	0.491 	0.35 	0.531 	0.093 	0.187 	0.195 	0.328 	0.558 	0.178 	NA 	0.208 	0.693 	0.279 	0.329 	0.269 	0.117 	0.082 	0.063 	0.064 	0.101 	0.058 	0.052 	0.154 	0.157 	0.161
0.044 	0.043 	0.022 	0.045 	0.04 	0.058 	0.026 	0.055 	0.037 	0.064 	0.037 	0.027 	0.037 	0.024 	0.041 	0.048 	0.026 	0.022 	0.063 	0.025 	0.04 	0.026 	0.025 	0.048 	NA 	0.049 	0.052 	0.024 	0.208 	0.034 	0.021 	0.026 	0.02 	0.023 	0.026 	0.018 	0.037 	0.04 	0.022
0.244 	0.123 	0.087 	0.248 	0.346 	0.718 	0.228 	0.244 	0.226 	0.22 	0.228 	0.472 	0.182 	0.16 	0.325 	0.144 	0.237 	0.085 	0.163 	0.154 	0.271 	0.288 	0.201 	0.596 	0.114 	NA 	0.248 	0.155 	0.182 	0.141 	0.079 	0.066 	0.058 	0.107 	0.059 	0.055 	0.155 	0.198 	0.166
0.248 	0.095 	0.061 	0.408 	0.595 	0.272 	0.096 	0.204 	0.164 	0.164 	0.251 	0.239 	0.161 	0.149 	0.319 	0.132 	0.306 	0.075 	0.241 	0.106 	0.362 	0.198 	0.22 	0.376 	0.141 	0.369 	NA 	0.111 	0.105 	0.128 	0.096 	0.075 	0.07 	0.126 	0.074 	0.061 	0.161 	0.25 	0.105
0.153 	0.113 	0.095 	0.14 	0.24 	0.232 	0.261 	0.309 	0.217 	0.586 	0.114 	0.243 	0.141 	0.099 	0.182 	0.289 	0.201 	0.061 	0.09 	0.104 	0.154 	0.301 	0.084 	0.35 	0.134 	0.204 	0.101 	NA 	0.213 	0.095 	0.072 	0.051 	0.05 	0.071 	0.052 	0.045 	0.114 	0.107 	0.139
0.152 	0.091 	0.051 	0.132 	0.133 	0.188 	0.094 	0.19 	0.108 	0.233 	0.099 	0.099 	0.088 	0.073 	0.144 	0.134 	0.084 	0.049 	0.146 	0.084 	0.134 	0.097 	0.072 	0.178 	0.189 	0.172 	0.149 	0.072 	NA 	0.088 	0.057 	0.056 	0.048 	0.061 	0.054 	0.043 	0.118 	0.121 	0.059
0.077 	0.038 	0.033 	0.072 	0.086 	0.077 	0.064 	0.073 	0.053 	0.068 	0.055 	0.093 	0.042 	0.053 	0.073 	0.06 	0.081 	0.026 	0.073 	0.041 	0.12 	0.075 	0.058 	0.086 	0.045 	0.108 	0.079 	0.044 	0.062 	NA 	0.186 	0.144 	0.105 	0.179 	0.088 	0.089 	0.156 	0.259 	0.057
0.049 	0.028 	0.023 	0.051 	0.056 	0.048 	0.043 	0.053 	0.044 	0.048 	0.038 	0.063 	0.032 	0.033 	0.053 	0.04 	0.055 	0.028 	0.052 	0.035 	0.101 	0.051 	0.041 	0.057 	0.037 	0.071 	0.051 	0.033 	0.05 	0.183 	NA 	0.482 	0.41 	0.185 	0.193 	0.117 	0.122 	0.23 	0.052
0.033 	0.02 	0.018 	0.036 	0.039 	0.032 	0.028 	0.038 	0.032 	0.031 	0.029 	0.039 	0.024 	0.024 	0.036 	0.027 	0.038 	0.021 	0.037 	0.024 	0.065 	0.034 	0.027 	0.037 	0.025 	0.044 	0.037 	0.022 	0.03 	0.128 	0.449 	NA 	0.326 	0.093 	0.255 	0.148 	0.068 	0.145 	0.033
0.033 	0.023 	0.017 	0.032 	0.036 	0.032 	0.033 	0.042 	0.037 	0.034 	0.029 	0.037 	0.025 	0.028 	0.034 	0.033 	0.035 	0.021 	0.043 	0.027 	0.076 	0.033 	0.029 	0.04 	0.027 	0.049 	0.041 	0.023 	0.032 	0.109 	0.315 	0.331 	NA 	0.093 	0.17 	0.125 	0.093 	0.167 	0.034
0.06 	0.037 	0.028 	0.066 	0.073 	0.053 	0.046 	0.059 	0.05 	0.055 	0.049 	0.076 	0.036 	0.04 	0.061 	0.047 	0.07 	0.028 	0.067 	0.041 	0.134 	0.054 	0.055 	0.07 	0.041 	0.088 	0.068 	0.034 	0.048 	0.209 	0.516 	0.345 	0.227 	NA 	0.212 	0.118 	0.13 	0.339 	0.051
0.028 	0.018 	0.016 	0.033 	0.034 	0.026 	0.024 	0.037 	0.034 	0.026 	0.029 	0.033 	0.022 	0.02 	0.033 	0.025 	0.033 	0.022 	0.03 	0.024 	0.049 	0.03 	0.024 	0.031 	0.021 	0.037 	0.032 	0.018 	0.025 	0.069 	0.155 	0.302 	0.215 	0.058 	NA 	0.18 	0.06 	0.108 	0.029
0.034 	0.018 	0.016 	0.031 	0.04 	0.033 	0.021 	0.038 	0.038 	0.03 	0.034 	0.033 	0.024 	0.021 	0.036 	0.028 	0.034 	0.022 	0.03 	0.024 	0.055 	0.031 	0.024 	0.035 	0.024 	0.042 	0.037 	0.026 	0.022 	0.061 	0.073 	0.113 	0.08 	0.048 	0.121 	NA 	0.048 	0.092 	0.034
