ReefID,Lat,Long
1,-11.4539,143.042
2,-13.1837,143.5739
3,-15.606,145.6263
4,-16.9984,146.205
5,-13.7715,143.6402
6,-18.2657,147.3842
7,-18.5564,146.4889
8,-18.5933,146.4984
9,-19.1664,146.8504
10,-18.6767,146.5116
11,-19.8727,149.5813
12,-19.725,148.3573
13,-19.1969,148.1833
14,-20.7817,150.4846
15,-20.7717,149.6204
16,-20.468,150.2905
17,-21.9571,150.6876
18,-21.2404,151.3989
19,-23.0824,150.8929
