NA 	0.605 	0.654 	0.63 	0.541 	0.527 	0.474 	0.204 	0.442 	0.497 	0.399 	0.533 	0.371 	0.209 	0.556 	0.192 	0.132 	0.056 	0.177
0.562 	NA 	0.45 	1 	0.847 	0.683 	0.461 	0.198 	0.524 	0.618 	0.376 	0.473 	0.349 	0.224 	0.593 	0.265 	0.158 	0.065 	0.275
0.649 	0.46 	NA 	0.487 	0.498 	0.416 	0.44 	0.167 	0.357 	0.499 	0.361 	0.744 	0.276 	0.197 	0.498 	0.216 	0.141 	0.062 	0.233
0.549 	0.842 	0.432 	NA 	0.764 	0.744 	0.511 	0.208 	0.422 	0.692 	0.42 	0.551 	0.343 	0.217 	0.741 	0.216 	0.172 	0.064 	0.221
0.397 	0.619 	0.325 	0.638 	NA 	0.471 	0.422 	0.197 	0.437 	0.428 	0.327 	0.429 	0.277 	0.185 	0.513 	0.235 	0.13 	0.065 	0.189
0.307 	0.268 	0.253 	0.381 	0.35 	NA 	0.3 	0.23 	0.265 	0.35 	0.318 	0.294 	0.297 	0.19 	0.428 	0.22 	0.138 	0.075 	0.189
0.491 	0.528 	0.389 	0.688 	0.576 	0.64 	NA 	0.327 	0.511 	0.927 	0.613 	0.626 	0.351 	0.25 	0.744 	0.291 	0.154 	0.069 	0.308
0.192 	0.149 	0.127 	0.211 	0.16 	0.317 	0.302 	NA 	0.144 	0.467 	0.206 	0.16 	0.217 	0.132 	0.283 	0.131 	0.104 	0.049 	0.159
0.5 	0.499 	0.362 	0.625 	0.796 	0.5 	0.571 	0.232 	NA 	0.633 	0.475 	0.484 	0.394 	0.335 	0.473 	0.31 	0.171 	0.077 	0.241
0.451 	0.349 	0.312 	0.531 	0.442 	0.576 	0.639 	0.377 	0.369 	NA 	0.327 	0.366 	0.336 	0.249 	0.528 	0.206 	0.199 	0.065 	0.236
0.313 	0.272 	0.285 	0.27 	0.299 	0.371 	0.349 	0.18 	0.247 	0.257 	NA 	0.296 	0.486 	0.32 	0.279 	0.349 	0.097 	0.086 	0.152
0.574 	0.531 	0.614 	0.636 	0.668 	0.661 	0.567 	0.202 	0.407 	0.443 	0.453 	NA 	0.301 	0.2 	0.608 	0.218 	0.126 	0.06 	0.219
0.18 	0.13 	0.15 	0.142 	0.151 	0.185 	0.178 	0.123 	0.1 	0.146 	0.306 	0.149 	NA 	0.223 	0.202 	0.266 	0.078 	0.081 	0.101
0.133 	0.099 	0.127 	0.103 	0.105 	0.115 	0.102 	0.09 	0.083 	0.089 	0.229 	0.11 	0.292 	NA 	0.101 	0.74 	0.051 	0.233 	0.06
0.452 	0.409 	0.327 	0.555 	0.399 	0.555 	0.387 	0.214 	0.325 	0.495 	0.295 	0.403 	0.317 	0.224 	NA 	0.242 	0.188 	0.069 	0.2
0.122 	0.096 	0.119 	0.084 	0.1 	0.111 	0.096 	0.076 	0.071 	0.08 	0.263 	0.102 	0.33 	0.859 	0.101 	NA 	0.049 	0.186 	0.06
0.129 	0.11 	0.112 	0.15 	0.147 	0.142 	0.111 	0.098 	0.131 	0.141 	0.103 	0.127 	0.12 	0.132 	0.174 	0.129 	NA 	0.05 	0.109
0.09 	0.063 	0.087 	0.057 	0.066 	0.07 	0.065 	0.065 	0.045 	0.051 	0.141 	0.073 	0.219 	0.302 	0.066 	0.279 	0.031 	NA 	0.04
0.261 	0.305 	0.228 	0.319 	0.375 	0.318 	0.37 	0.238 	0.311 	0.466 	0.29 	0.329 	0.312 	0.179 	0.405 	0.238 	0.244 	0.059 	NA
