0,3.67E-06,6.06E-06,6.06E-06,5.82E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06,6.06E-06
1.40E-06,0,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06,3.79E-06
1.89E-08,1.89E-08,0,0.003112018,8.14E-07,6.57E-05,0.002484523,0.003227443,0.003149675,0.001963535,0.003118209,0.003118209,0.003118209,0.001072573,0.003118209,0.003118209,0.003118209,5.42E-05,0.000209885
1.89E-08,1.89E-08,5.46E-07,0,5.46E-07,6.39E-05,0.002484523,0.004874489,0.005950409,0.00195922,0.004480573,0.003343134,0.005918944,0.001071431,0.003985466,0.004794334,0.003995619,5.31E-05,0.000209885
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.89E-08,1.89E-08,5.46E-07,8.74E-05,5.46E-07,0,0.002484523,0.002965959,0.002923496,0.002045791,0.002930192,0.00289199,0.002870743,0.001071431,0.002930192,0.002930192,0.002930192,5.31E-05,0.000209885
1.89E-08,1.89E-08,5.46E-07,2.14E-06,5.46E-07,2.14E-06,0,0.000168948,3.36E-05,0.000148664,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06
1.89E-08,1.89E-08,5.46E-07,2.14E-06,5.46E-07,2.14E-06,0.000199504,0,3.36E-05,0.000148664,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06
3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,0,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11,3.54E-11
1.89E-08,1.89E-08,5.46E-07,2.14E-06,5.46E-07,2.14E-06,3.62E-05,3.62E-05,3.36E-05,0,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06,2.14E-06
1.89E-08,1.89E-08,5.46E-07,5.38E-05,5.46E-07,5.38E-05,9.36E-05,9.36E-05,8.53E-05,9.36E-05,0,5.38E-05,5.38E-05,0.000542774,0.001849392,0.000941149,0.002136145,5.31E-05,0.00016184
1.89E-08,1.89E-08,5.46E-07,1.47E-05,5.46E-07,1.47E-05,1.47E-05,1.47E-05,1.80E-05,1.47E-05,1.47E-05,0,1.47E-05,1.47E-05,1.71E-05,1.47E-05,1.47E-05,1.47E-05,1.47E-05
1.89E-08,1.89E-08,5.46E-07,8.74E-05,5.46E-07,6.39E-05,0.000429149,0.000464672,0.000767154,0.000356687,0.002236871,0.002055897,0,0.001071431,0.003443868,0.00306227,0.003995619,5.31E-05,0.000209885
2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,0,4.37E-07,2.31E-11,0.000492042,2.31E-11,4.37E-07
2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,0,2.31E-11,2.31E-11,2.31E-11,2.31E-11
1.89E-08,1.89E-08,5.46E-07,1.29E-05,5.46E-07,1.29E-05,1.29E-05,1.29E-05,1.29E-05,1.29E-05,1.29E-05,1.29E-05,1.29E-05,0.000275823,0.001183102,0,0.001286139,1.29E-05,0.000110517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,0.000161584,0,0.000173823
2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,2.31E-11,3.36E-07,2.31E-11,0
